latitude,longitude,data_pas,satelite,pais,estado,municipio,bioma,numero_dias_sem_chuva,precipitacao,risco_fogo,id_area_industrial,frp
-5.76497,-39.92783,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,MOMBAÇA,Caatinga,0.0,0.02,0.23,0,2.4
-5.74184,-39.58912,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,MOMBAÇA,Caatinga,0.0,0.0,0.0,0,21.9
-5.71085,-39.51227,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,MOMBAÇA,Caatinga,0.0,0.0,0.0,0,4.7
-5.69809,-39.45105,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,SENADOR POMPEU,Caatinga,0.0,0.0,0.0,0,7.4
-5.59304,-39.13263,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,MILHÃ,Caatinga,0.0,0.0,0.0,0,9.0
-5.46316,-39.18356,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,QUIXERAMOBIM,Caatinga,0.0,0.0,0.0,0,2.1
-5.21128,-41.73693,2024-01-02 15:54:00,NOAA-20,Brasil,PIAUÍ,CASTELO DO PIAUÍ,Caatinga,0.0,0.76,0.0,0,3.7
-5.08011,-40.84825,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,CRATEÚS,Caatinga,3.0,2.46,0.05,0,4.1
-4.79613,-40.96354,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,PORANGA,Caatinga,4.0,12.41,0.0,0,12.4
-4.79227,-40.96408,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,PORANGA,Caatinga,4.0,12.48,0.0,0,12.4
-4.54814,-38.24224,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,BEBERIBE,Caatinga,4.0,13.52,0.0,0,20.6
-4.37502,-38.79082,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,ARACOIABA,Caatinga,0.0,0.59,0.0,0,5.6
-4.21908,-38.33332,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,CASCAVEL,Caatinga,0.0,0.0,0.0,0,2.1
-3.88563,-39.45886,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,TEJUÇUOCA,Caatinga,4.0,5.5,0.01,0,2.8
-3.76644,-39.12086,2024-01-02 15:54:00,NOAA-20,Brasil,CEARÁ,PENTECOSTE,Caatinga,7.0,0.81,0.03,0,4.0
